IP,地区,洲,城市,延迟
104.24.219.246,LAX,North America,Los Angeles,156 ms
104.24.146.145,LAX,North America,Los Angeles,156 ms
162.159.18.115,LAX,North America,Los Angeles,156 ms
104.18.188.73,SJC,North America,San Jose,156 ms
172.67.25.97,LAX,North America,Los Angeles,156 ms
104.25.217.26,LAX,North America,Los Angeles,156 ms
198.41.222.159,LAX,North America,Los Angeles,156 ms
104.25.179.196,LAX,North America,Los Angeles,156 ms
172.67.233.23,LAX,North America,Los Angeles,156 ms
162.159.13.48,LAX,North America,Los Angeles,156 ms
104.25.229.51,LAX,North America,Los Angeles,156 ms
104.23.128.216,LAX,North America,Los Angeles,156 ms
104.19.79.95,LAX,North America,Los Angeles,156 ms
104.18.74.119,SJC,North America,San Jose,156 ms
104.25.93.120,LAX,North America,Los Angeles,156 ms
172.67.198.91,LAX,North America,Los Angeles,156 ms
104.18.134.204,SJC,North America,San Jose,156 ms
104.23.115.126,LAX,North America,Los Angeles,156 ms
104.25.230.169,LAX,North America,Los Angeles,156 ms
104.25.69.231,LAX,North America,Los Angeles,156 ms
104.23.122.66,LAX,North America,Los Angeles,156 ms
162.159.252.110,LAX,North America,Los Angeles,156 ms
104.25.57.60,LAX,North America,Los Angeles,156 ms
104.18.94.116,SJC,North America,San Jose,156 ms
104.25.19.140,LAX,North America,Los Angeles,156 ms
104.21.196.31,LAX,North America,Los Angeles,156 ms
172.67.104.210,LAX,North America,Los Angeles,156 ms
104.17.189.48,SJC,North America,San Jose,156 ms
104.16.173.34,SJC,North America,San Jose,156 ms
104.19.144.121,SJC,North America,San Jose,156 ms
104.17.78.7,SJC,North America,San Jose,156 ms
172.67.29.253,LAX,North America,Los Angeles,156 ms
104.23.101.195,LAX,North America,Los Angeles,156 ms
162.159.251.165,LAX,North America,Los Angeles,156 ms
104.27.9.69,LAX,North America,Los Angeles,156 ms
172.64.35.200,LAX,North America,Los Angeles,156 ms
104.16.139.159,SJC,North America,San Jose,156 ms
172.67.42.7,LAX,North America,Los Angeles,156 ms
172.67.123.251,LAX,North America,Los Angeles,156 ms
104.25.147.175,LAX,North America,Los Angeles,156 ms
104.24.215.152,LAX,North America,Los Angeles,156 ms
104.25.3.84,LAX,North America,Los Angeles,156 ms
104.19.163.214,SJC,North America,San Jose,156 ms
162.159.130.176,LAX,North America,Los Angeles,156 ms
104.24.192.145,LAX,North America,Los Angeles,157 ms
172.67.94.113,LAX,North America,Los Angeles,157 ms
104.24.213.86,LAX,North America,Los Angeles,157 ms
104.21.67.161,LAX,North America,Los Angeles,157 ms
104.24.149.38,LAX,North America,Los Angeles,157 ms
104.27.35.238,LAX,North America,Los Angeles,157 ms
104.27.101.17,LAX,North America,Los Angeles,157 ms
104.23.108.80,LAX,North America,Los Angeles,157 ms
104.24.2.160,LAX,North America,Los Angeles,157 ms
104.24.67.190,LAX,North America,Los Angeles,157 ms
104.25.85.87,LAX,North America,Los Angeles,157 ms
104.25.47.186,LAX,North America,Los Angeles,157 ms
104.18.101.119,SJC,North America,San Jose,157 ms
104.19.33.138,LAX,North America,Los Angeles,157 ms
172.67.235.209,LAX,North America,Los Angeles,157 ms
104.24.154.11,LAX,North America,Los Angeles,157 ms
104.17.170.170,SJC,North America,San Jose,157 ms
104.16.206.49,SJC,North America,San Jose,157 ms
104.25.50.26,LAX,North America,Los Angeles,157 ms
104.22.22.165,LAX,North America,Los Angeles,157 ms
104.23.104.108,LAX,North America,Los Angeles,157 ms
104.18.89.108,SJC,North America,San Jose,157 ms
198.41.223.98,LAX,North America,Los Angeles,157 ms
198.41.214.20,LAX,North America,Los Angeles,157 ms
104.25.184.138,LAX,North America,Los Angeles,157 ms
162.159.24.38,LAX,North America,Los Angeles,157 ms
104.18.12.60,LAX,North America,Los Angeles,157 ms
104.27.39.45,LAX,North America,Los Angeles,157 ms
104.21.11.120,LAX,North America,Los Angeles,157 ms
104.18.179.127,SJC,North America,San Jose,157 ms
104.25.154.79,LAX,North America,Los Angeles,157 ms
104.18.1.25,LAX,North America,Los Angeles,157 ms
104.24.71.107,LAX,North America,Los Angeles,157 ms
104.21.1.54,LAX,North America,Los Angeles,157 ms
104.25.134.119,LAX,North America,Los Angeles,157 ms
104.16.165.176,SJC,North America,San Jose,157 ms
104.16.33.22,SJC,North America,San Jose,157 ms
104.27.3.203,LAX,North America,Los Angeles,157 ms
104.24.152.209,LAX,North America,Los Angeles,157 ms
162.159.3.145,LAX,North America,Los Angeles,157 ms
104.24.218.105,LAX,North America,Los Angeles,157 ms
162.159.138.89,LAX,North America,Los Angeles,157 ms
104.25.144.41,SJC,North America,San Jose,157 ms
172.64.144.21,LAX,North America,Los Angeles,157 ms
104.24.38.138,LAX,North America,Los Angeles,158 ms
104.25.159.167,LAX,North America,Los Angeles,158 ms
172.67.91.253,LAX,North America,Los Angeles,158 ms
104.22.8.3,LAX,North America,Los Angeles,158 ms
172.67.40.141,LAX,North America,Los Angeles,158 ms
104.21.29.40,LAX,North America,Los Angeles,158 ms
104.27.65.223,LAX,North America,Los Angeles,158 ms
104.21.75.187,LAX,North America,Los Angeles,158 ms
104.17.205.41,SJC,North America,San Jose,158 ms
104.17.126.32,SJC,North America,San Jose,158 ms
104.24.72.217,LAX,North America,Los Angeles,158 ms
104.23.96.141,LAX,North America,Los Angeles,158 ms
104.27.127.102,LAX,North America,Los Angeles,158 ms
104.19.62.226,LAX,North America,Los Angeles,158 ms
104.21.2.205,LAX,North America,Los Angeles,158 ms
172.67.45.56,LAX,North America,Los Angeles,158 ms
104.27.125.113,LAX,North America,Los Angeles,158 ms
104.22.0.183,LAX,North America,Los Angeles,158 ms
104.21.106.105,LAX,North America,Los Angeles,158 ms
162.159.143.50,LAX,North America,Los Angeles,158 ms
104.21.123.55,SJC,North America,San Jose,158 ms
104.16.183.171,SJC,North America,San Jose,158 ms
104.24.69.237,LAX,North America,Los Angeles,158 ms
104.19.42.127,LAX,North America,Los Angeles,158 ms
104.21.31.126,LAX,North America,Los Angeles,158 ms
104.16.211.182,SJC,North America,San Jose,158 ms
104.25.166.14,LAX,North America,Los Angeles,158 ms
104.18.230.119,SJC,North America,San Jose,158 ms
172.67.54.54,LAX,North America,Los Angeles,158 ms
104.17.229.196,SJC,North America,San Jose,158 ms
104.25.41.206,LAX,North America,Los Angeles,158 ms
104.27.82.121,LAX,North America,Los Angeles,158 ms
162.159.41.211,LAX,North America,Los Angeles,158 ms
104.27.198.163,SJC,North America,San Jose,158 ms
104.18.78.111,SJC,North America,San Jose,158 ms
162.159.134.95,LAX,North America,Los Angeles,158 ms
172.64.49.184,LAX,North America,Los Angeles,158 ms
172.67.124.190,LAX,North America,Los Angeles,158 ms
104.21.84.232,LAX,North America,Los Angeles,158 ms
104.18.182.100,SJC,North America,San Jose,158 ms
104.24.8.70,LAX,North America,Los Angeles,158 ms
104.25.91.35,LAX,North America,Los Angeles,158 ms
104.31.16.62,LAX,North America,Los Angeles,158 ms
104.24.163.251,LAX,North America,Los Angeles,158 ms
104.24.236.2,LAX,North America,Los Angeles,158 ms
104.27.52.52,LAX,North America,Los Angeles,158 ms
172.64.41.212,LAX,North America,Los Angeles,158 ms
198.41.206.148,LAX,North America,Los Angeles,158 ms
172.67.107.185,LAX,North America,Los Angeles,158 ms
104.19.98.142,LAX,North America,Los Angeles,158 ms
104.25.88.125,LAX,North America,Los Angeles,158 ms
172.67.22.19,LAX,North America,Los Angeles,158 ms
8.47.69.121,LAX,North America,Los Angeles,158 ms
104.24.74.242,LAX,North America,Los Angeles,158 ms
104.27.68.206,LAX,North America,Los Angeles,159 ms
104.24.58.244,LAX,North America,Los Angeles,159 ms
104.19.15.98,LAX,North America,Los Angeles,159 ms
104.24.253.183,LAX,North America,Los Angeles,159 ms
104.19.248.244,SJC,North America,San Jose,159 ms
104.24.179.254,LAX,North America,Los Angeles,159 ms
104.19.206.252,LAX,North America,Los Angeles,159 ms
104.24.248.82,LAX,North America,Los Angeles,159 ms
104.27.79.247,LAX,North America,Los Angeles,159 ms
104.17.65.129,SJC,North America,San Jose,159 ms
104.18.37.67,LAX,North America,Los Angeles,159 ms
104.24.167.18,LAX,North America,Los Angeles,159 ms
104.25.73.45,LAX,North America,Los Angeles,159 ms
104.27.44.225,LAX,North America,Los Angeles,159 ms
104.16.218.6,SJC,North America,San Jose,159 ms
104.25.107.142,LAX,North America,Los Angeles,159 ms
104.18.168.250,SJC,North America,San Jose,159 ms
104.18.132.99,SJC,North America,San Jose,159 ms
104.21.226.141,SJC,North America,San Jose,159 ms
104.18.82.49,SJC,North America,San Jose,159 ms
104.19.202.139,LAX,North America,Los Angeles,159 ms
104.19.127.120,LAX,North America,Los Angeles,159 ms
172.67.128.85,LAX,North America,Los Angeles,159 ms
172.67.95.115,LAX,North America,Los Angeles,159 ms
104.22.74.82,LAX,North America,Los Angeles,159 ms
104.18.63.249,LAX,North America,Los Angeles,159 ms
104.25.141.149,LAX,North America,Los Angeles,159 ms
172.67.187.193,LAX,North America,Los Angeles,159 ms
162.159.237.198,SJC,North America,San Jose,159 ms
104.17.56.11,SJC,North America,San Jose,159 ms
104.17.109.6,SJC,North America,San Jose,159 ms
172.67.116.111,LAX,North America,Los Angeles,159 ms
198.41.193.41,LAX,North America,Los Angeles,159 ms
172.67.52.209,LAX,North America,Los Angeles,159 ms
104.19.0.167,LAX,North America,Los Angeles,159 ms
104.18.25.113,LAX,North America,Los Angeles,159 ms
172.67.12.250,LAX,North America,Los Angeles,159 ms
104.24.21.168,LAX,North America,Los Angeles,159 ms
104.18.167.8,SJC,North America,San Jose,159 ms
104.19.16.146,LAX,North America,Los Angeles,159 ms
162.159.153.72,LAX,North America,Los Angeles,159 ms
104.25.138.228,LAX,North America,Los Angeles,159 ms
104.25.35.104,LAX,North America,Los Angeles,159 ms
104.25.110.153,LAX,North America,Los Angeles,159 ms
104.17.157.1,SJC,North America,San Jose,159 ms
104.22.5.68,LAX,North America,Los Angeles,159 ms
104.18.35.90,LAX,North America,Los Angeles,160 ms
104.16.207.21,SJC,North America,San Jose,160 ms
104.25.158.189,LAX,North America,Los Angeles,160 ms
104.25.102.23,LAX,North America,Los Angeles,160 ms
104.17.54.241,SJC,North America,San Jose,160 ms
104.17.50.28,SJC,North America,San Jose,160 ms
104.24.7.85,LAX,North America,Los Angeles,160 ms
104.18.145.246,SJC,North America,San Jose,160 ms
104.24.14.238,LAX,North America,Los Angeles,160 ms
104.17.16.223,SJC,North America,San Jose,160 ms
104.25.128.112,LAX,North America,Los Angeles,160 ms
104.23.116.136,LAX,North America,Los Angeles,160 ms
162.159.207.80,LAX,North America,Los Angeles,160 ms
185.146.173.180,LAX,North America,Los Angeles,160 ms
104.27.33.243,LAX,North America,Los Angeles,160 ms
104.19.191.188,SJC,North America,San Jose,160 ms
104.25.193.5,LAX,North America,Los Angeles,160 ms
104.18.11.60,LAX,North America,Los Angeles,160 ms
172.67.112.181,LAX,North America,Los Angeles,160 ms
104.16.255.180,SJC,North America,San Jose,160 ms
104.19.134.71,LAX,North America,Los Angeles,160 ms
104.25.97.174,LAX,North America,Los Angeles,160 ms
141.101.120.246,LAX,North America,Los Angeles,160 ms
104.21.65.126,LAX,North America,Los Angeles,160 ms
104.22.51.125,LAX,North America,Los Angeles,160 ms
104.25.125.130,LAX,North America,Los Angeles,160 ms
104.20.7.107,LAX,North America,Los Angeles,160 ms
104.24.206.247,LAX,North America,Los Angeles,160 ms
172.67.192.252,LAX,North America,Los Angeles,160 ms
1.0.0.179,LAX,North America,Los Angeles,160 ms
104.19.78.87,LAX,North America,Los Angeles,160 ms
104.17.148.216,SJC,North America,San Jose,160 ms
104.22.4.179,LAX,North America,Los Angeles,160 ms
104.17.210.222,SJC,North America,San Jose,160 ms
104.18.26.240,SJC,North America,San Jose,160 ms
104.24.164.58,LAX,North America,Los Angeles,160 ms
104.17.68.51,SJC,North America,San Jose,160 ms
104.27.111.65,LAX,North America,Los Angeles,160 ms
104.23.118.250,LAX,North America,Los Angeles,160 ms
104.19.104.241,LAX,North America,Los Angeles,160 ms
104.19.7.23,LAX,North America,Los Angeles,160 ms
104.27.122.162,LAX,North America,Los Angeles,160 ms
104.27.95.197,LAX,North America,Los Angeles,160 ms
172.67.115.202,LAX,North America,Los Angeles,160 ms
104.23.106.129,LAX,North America,Los Angeles,160 ms
104.24.12.64,LAX,North America,Los Angeles,160 ms
104.19.38.30,LAX,North America,Los Angeles,160 ms
104.18.116.111,SJC,North America,San Jose,160 ms
104.18.146.162,SJC,North America,San Jose,160 ms
104.18.209.26,SJC,North America,San Jose,160 ms
104.16.61.237,SJC,North America,San Jose,160 ms
104.25.133.91,LAX,North America,Los Angeles,160 ms
104.24.66.238,LAX,North America,Los Angeles,160 ms
104.16.169.55,SJC,North America,San Jose,160 ms
104.24.144.62,LAX,North America,Los Angeles,160 ms
104.21.19.223,LAX,North America,Los Angeles,160 ms
162.159.240.106,LAX,North America,Los Angeles,160 ms
104.22.1.234,LAX,North America,Los Angeles,160 ms
104.16.159.125,SJC,North America,San Jose,160 ms
104.24.202.56,LAX,North America,Los Angeles,161 ms
104.19.229.69,SJC,North America,San Jose,161 ms
104.27.97.106,LAX,North America,Los Angeles,161 ms
104.21.24.171,LAX,North America,Los Angeles,161 ms
104.24.200.215,LAX,North America,Los Angeles,161 ms
104.25.20.170,LAX,North America,Los Angeles,161 ms
104.17.32.92,SJC,North America,San Jose,161 ms
172.67.31.43,LAX,North America,Los Angeles,161 ms
104.25.142.2,LAX,North America,Los Angeles,161 ms
104.21.237.61,SJC,North America,San Jose,161 ms
172.67.228.240,LAX,North America,Los Angeles,161 ms
104.25.58.92,LAX,North America,Los Angeles,161 ms
104.16.254.66,SJC,North America,San Jose,161 ms
104.24.43.168,LAX,North America,Los Angeles,161 ms
104.25.244.57,LAX,North America,Los Angeles,161 ms
104.25.49.109,LAX,North America,Los Angeles,161 ms
104.16.129.201,SJC,North America,San Jose,161 ms
104.19.135.40,LAX,North America,Los Angeles,161 ms
104.17.17.208,SJC,North America,San Jose,161 ms
104.25.86.123,LAX,North America,Los Angeles,161 ms
162.159.128.78,LAX,North America,Los Angeles,161 ms
104.24.153.113,LAX,North America,Los Angeles,161 ms
104.25.68.24,LAX,North America,Los Angeles,161 ms
104.24.234.25,LAX,North America,Los Angeles,161 ms
104.24.157.235,LAX,North America,Los Angeles,161 ms
104.22.32.15,LAX,North America,Los Angeles,161 ms
104.19.3.152,LAX,North America,Los Angeles,161 ms
104.18.92.198,SJC,North America,San Jose,161 ms
104.24.81.122,LAX,North America,Los Angeles,161 ms
104.24.235.158,LAX,North America,Los Angeles,161 ms
172.67.129.173,LAX,North America,Los Angeles,161 ms
104.24.246.191,LAX,North America,Los Angeles,161 ms
108.162.196.210,LAX,North America,Los Angeles,161 ms
104.22.72.89,LAX,North America,Los Angeles,161 ms
104.27.107.185,LAX,North America,Los Angeles,161 ms
104.19.244.118,SJC,North America,San Jose,161 ms
104.17.21.80,SJC,North America,San Jose,161 ms
104.25.237.158,LAX,North America,Los Angeles,161 ms
104.27.19.80,LAX,North America,Los Angeles,161 ms
172.67.23.125,LAX,North America,Los Angeles,161 ms
104.27.93.28,LAX,North America,Los Angeles,161 ms
172.66.44.68,LAX,North America,Los Angeles,161 ms
104.16.32.169,SJC,North America,San Jose,161 ms
104.24.244.45,LAX,North America,Los Angeles,161 ms
104.19.190.105,SJC,North America,San Jose,161 ms
104.24.36.135,LAX,North America,Los Angeles,161 ms
23.227.38.162,LAX,North America,Los Angeles,161 ms
66.235.200.33,LAX,North America,Los Angeles,161 ms
104.25.238.230,LAX,North America,Los Angeles,161 ms
104.25.11.60,LAX,North America,Los Angeles,161 ms
104.18.20.92,LAX,North America,Los Angeles,161 ms
104.18.127.196,SJC,North America,San Jose,161 ms
162.159.152.191,LAX,North America,Los Angeles,161 ms
104.25.16.75,LAX,North America,Los Angeles,161 ms
104.16.101.156,SJC,North America,San Jose,161 ms
104.27.45.73,LAX,North America,Los Angeles,161 ms
104.18.14.16,LAX,North America,Los Angeles,161 ms
172.64.176.130,LAX,North America,Los Angeles,161 ms
198.41.196.223,LAX,North America,Los Angeles,161 ms
104.24.24.33,LAX,North America,Los Angeles,161 ms
104.19.209.35,SJC,North America,San Jose,161 ms
104.27.108.117,LAX,North America,Los Angeles,161 ms
104.18.5.40,LAX,North America,Los Angeles,161 ms
104.25.52.234,LAX,North America,Los Angeles,161 ms
104.21.235.105,SJC,North America,San Jose,162 ms
172.64.42.246,LAX,North America,Los Angeles,162 ms
104.19.34.197,LAX,North America,Los Angeles,162 ms
104.22.43.8,LAX,North America,Los Angeles,162 ms
104.18.187.127,SJC,North America,San Jose,162 ms
104.21.231.107,SJC,North America,San Jose,162 ms
104.25.224.156,LAX,North America,Los Angeles,162 ms
104.19.50.249,LAX,North America,Los Angeles,162 ms
104.19.94.118,LAX,North America,Los Angeles,162 ms
104.21.21.215,LAX,North America,Los Angeles,162 ms
104.27.12.113,LAX,North America,Los Angeles,162 ms
104.27.75.113,LAX,North America,Los Angeles,162 ms
104.19.18.161,LAX,North America,Los Angeles,162 ms
104.19.115.73,LAX,North America,Los Angeles,162 ms
104.17.185.93,SJC,North America,San Jose,162 ms
104.27.201.53,LAX,North America,Los Angeles,162 ms
104.23.120.166,LAX,North America,Los Angeles,162 ms
104.18.245.167,SJC,North America,San Jose,162 ms
104.19.176.116,SJC,North America,San Jose,162 ms
104.18.42.170,LAX,North America,Los Angeles,162 ms
104.16.62.105,SJC,North America,San Jose,162 ms
104.24.209.81,LAX,North America,Los Angeles,162 ms
104.16.11.43,SJC,North America,San Jose,162 ms
104.21.13.69,LAX,North America,Los Angeles,162 ms
104.18.122.77,SJC,North America,San Jose,162 ms
162.159.206.105,LAX,North America,Los Angeles,162 ms
104.16.212.46,SJC,North America,San Jose,162 ms
172.67.205.22,LAX,North America,Los Angeles,162 ms
104.18.84.110,SJC,North America,San Jose,162 ms
104.27.103.137,LAX,North America,Los Angeles,162 ms
104.17.127.124,SJC,North America,San Jose,162 ms
104.20.3.62,LAX,North America,Los Angeles,162 ms
172.67.41.174,LAX,North America,Los Angeles,162 ms
172.64.159.68,LAX,North America,Los Angeles,162 ms
162.159.250.126,LAX,North America,Los Angeles,162 ms
104.16.42.217,SJC,North America,San Jose,162 ms
104.16.180.236,SJC,North America,San Jose,162 ms
104.19.26.37,LAX,North America,Los Angeles,162 ms
104.22.70.134,LAX,North America,Los Angeles,162 ms
104.16.154.62,SJC,North America,San Jose,162 ms
104.18.144.47,SJC,North America,San Jose,162 ms
104.16.35.254,SJC,North America,San Jose,162 ms
104.18.206.57,SJC,North America,San Jose,162 ms
162.159.36.232,LAX,North America,Los Angeles,162 ms
172.67.97.118,LAX,North America,Los Angeles,162 ms
162.159.16.14,LAX,North America,Los Angeles,162 ms
104.27.47.70,LAX,North America,Los Angeles,163 ms
162.159.136.205,LAX,North America,Los Angeles,163 ms
104.27.98.214,LAX,North America,Los Angeles,163 ms
104.22.15.67,LAX,North America,Los Angeles,163 ms
104.16.7.45,SJC,North America,San Jose,163 ms
173.245.49.25,LAX,North America,Los Angeles,163 ms
104.19.205.100,LAX,North America,Los Angeles,163 ms
162.159.213.191,SFO,North America,San Francisco,163 ms
104.19.31.74,LAX,North America,Los Angeles,163 ms
104.17.89.52,SJC,North America,San Jose,163 ms
162.159.245.100,LAX,North America,Los Angeles,163 ms
104.25.105.50,LAX,North America,Los Angeles,163 ms
104.19.235.102,SJC,North America,San Jose,163 ms
104.18.126.248,SJC,North America,San Jose,163 ms
172.67.199.51,LAX,North America,Los Angeles,163 ms
104.19.155.32,SJC,North America,San Jose,163 ms
104.18.76.46,SJC,North America,San Jose,163 ms
172.64.88.45,LAX,North America,Los Angeles,163 ms
104.21.96.42,LAX,North America,Los Angeles,163 ms
104.19.240.249,SJC,North America,San Jose,163 ms
104.17.208.122,SJC,North America,San Jose,163 ms
104.25.0.211,LAX,North America,Los Angeles,163 ms
104.25.236.146,LAX,North America,Los Angeles,163 ms
104.18.115.121,SJC,North America,San Jose,163 ms
104.21.58.11,LAX,North America,Los Angeles,163 ms
104.25.201.226,LAX,North America,Los Angeles,163 ms
162.159.254.129,LAX,North America,Los Angeles,163 ms
104.18.62.48,LAX,North America,Los Angeles,163 ms
172.67.62.146,LAX,North America,Los Angeles,163 ms
198.41.218.215,LAX,North America,Los Angeles,163 ms
104.27.196.48,LAX,North America,Los Angeles,163 ms
104.21.195.226,LAX,North America,Los Angeles,163 ms
104.21.43.46,LAX,North America,Los Angeles,163 ms
104.17.255.110,SJC,North America,San Jose,163 ms
104.24.64.105,LAX,North America,Los Angeles,163 ms
104.24.140.128,LAX,North America,Los Angeles,163 ms
104.27.91.205,LAX,North America,Los Angeles,163 ms
172.67.48.64,LAX,North America,Los Angeles,163 ms
104.16.28.197,SJC,North America,San Jose,163 ms
8.34.70.249,LAX,North America,Los Angeles,163 ms
104.19.32.178,LAX,North America,Los Angeles,163 ms
104.19.46.84,LAX,North America,Los Angeles,163 ms
104.19.211.189,SJC,North America,San Jose,163 ms
104.19.30.53,LAX,North America,Los Angeles,163 ms
104.25.54.221,LAX,North America,Los Angeles,163 ms
104.23.137.157,LAX,North America,Los Angeles,163 ms
104.16.23.178,SJC,North America,San Jose,163 ms
172.64.157.137,LAX,North America,Los Angeles,163 ms
104.27.69.113,LAX,North America,Los Angeles,163 ms
172.64.151.247,LAX,North America,Los Angeles,163 ms
104.25.78.234,LAX,North America,Los Angeles,163 ms
104.22.13.241,LAX,North America,Los Angeles,163 ms
104.19.152.228,SJC,North America,San Jose,163 ms
172.67.109.201,LAX,North America,Los Angeles,163 ms
104.17.206.177,SJC,North America,San Jose,163 ms
104.18.125.251,SJC,North America,San Jose,163 ms
104.24.42.125,LAX,North America,Los Angeles,163 ms
